xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
p7_toilet_bathroom,26.24,180,24.26,34.77,36.94,31171.10,9
p7_anim_sin_bar_room_chair,9.72,172,20.95,23.26,37.02,18044.99,49
p7_street_safety_fence_cc_bars,12.45,134,92.55,1.07,39.57,3935.26,3
p7_barrier_construction,23.33,133,27.61,23.45,49.33,31935.74,5
veh_t7_civ_truck_med_wheel_back_attch,49.75,131,42.28,30.17,42.29,53942.07,7
p7_cart_utility_electric_01_guard,31.10,120,102.58,63.59,14.33,93512.48,2
p7_pallet_truck_dirty,46.44,108,65.57,25.50,49.09,82084.16,3
p7_zur_nw_clamp_factory_stairs_railing_vista,5.52,102,179.91,4.01,150.57,108690.69,7
p7_hand_truck_horizontal,10.71,100,43.10,22.69,42.85,41915.97,2
veh_t7_civ_truck_med_wheel_front_attch,43.26,99,42.28,15.08,42.29,26971.04,7
p7_cart_utility_electric_01_tire,11.67,96,20.51,7.79,20.51,3277.89,5
p7_cart_utility_electric_01_seat,22.49,90,21.94,20.65,23.52,10656.11,3
p7_construction_hardhat,3.70,80,11.95,8.71,7.30,760.37,5
p7_bio_wave_wall_rail_01,5.20,80,4.00,64.00,5.54,1417.48,13
p7_aqu_railings_set_metal_64,25.90,72,5.43,64.00,32.00,11124.73,77
p7_bench_plastic_modern_01_white,41.95,58,85.99,19.99,20.91,35950.13,63
p7_aqu_railings_set_metal_32,21.09,54,5.43,33.76,32.00,5868.81,6
p7_aqu_railings_set_metal_end_32,21.09,54,5.43,33.72,32.00,5860.59,13
p7_zm_der_pswitch_handle,8.56,44,18.42,4.44,25.20,2060.67,1
p7_foliage_flower_bouquet_jar_dead,12.88,44,14.94,15.00,25.93,5810.58,4
p7_barricade_metal_gate_02_post,42.47,40,11.80,8.00,64.95,6127.27,2
c_zom_der_zombie_helmet1,7.07,32,10.01,10.56,9.27,979.39,1
p7_cai_store_monitor_06,12.49,28,16.00,6.08,12.24,1190.36,29
p7_elevator_metal_button_call,4.52,24,4.05,6.79,8.11,223.01,1
p7_elevator_metal_button_call_on,4.52,24,4.05,6.79,8.11,223.01,1
p7_newspaper_vintage_folded_single_blank,38.58,22,13.30,16.70,1.06,236.34,3
p7_toilet_bathroom_lid,30.03,22,24.26,10.96,2.78,738.82,2
p7_zm_der_magic_box_fake,28.14,20,12.97,10.80,14.06,1970.22,1
p7_sin_signage_pole,36.91,16,2.43,2.43,107.78,637.54,2
p7_zm_der2_vending_packapunch_sign_wait,27.90,16,20.44,0.25,21.56,111.32,1
veh_t7_civ_truck_med_attch_light_bar_base,7.09,16,4.86,78.71,3.66,1398.61,2
c_zom_zod_zombie_fem_body1_g_rarmspawn,1.62,16,10.08,4.44,4.24,189.80,1
p7_gib_chunk_meat_01,4.31,16,2.61,7.35,8.75,167.67,1
p7_gib_chunk_meat_02,3.93,16,4.00,7.68,5.48,168.48,1
p7_fxp_electric_arc_02,0.30,16,39.46,2.49,2.54,249.89,1
p7_gib_chunk_flesh_01,2.48,16,4.98,1.51,5.99,45.20,1
p7_gib_chunk_flesh_02,1.75,16,1.42,5.32,4.56,34.36,1
p7_gib_chunk_flesh_03,1.63,16,3.89,1.82,4.60,32.62,1
p7_gib_chunk_bone_01,0.66,16,1.93,2.13,4.84,19.91,1
p7_gib_chunk_bone_02,0.91,16,2.83,3.32,2.05,19.34,1
p7_gib_chunk_bone_03,1.07,16,2.66,4.52,3.11,37.40,1
c_zom_zod_zombie_fem_body1_g_rlegspawn,8.35,16,11.92,8.81,4.88,512.85,1
p7_fxp_electric_arc_01,0.42,16,39.47,6.29,4.72,1172.50,1
p7_gib_chunk_meat_03,4.97,15,3.14,6.78,7.21,153.74,1
c_zom_zod_zombie_fem_body1_g_larmspawn,0.75,15,10.08,4.44,4.24,189.80,1
c_zom_zod_zombie_fem_body1_g_llegspawn,8.84,15,11.92,8.81,4.88,512.85,1
p7_aqu_railings_set_end_post_metal,33.50,12,5.43,5.57,32.00,968.49,5
veh_t7_civ_license_plate_back_singapore_compact_wht,47.77,4,0.34,19.95,4.66,31.75,1
veh_t7_civ_license_plate_front_singapore_compact_wht,47.77,4,0.34,19.95,4.66,31.75,1
veh_t7_civ_license_plate_back_singapore_compact_org,47.77,4,0.34,19.95,4.66,31.75,1
veh_t7_civ_license_plate_front_singapore_compact_org,47.77,4,0.34,19.95,4.66,31.75,1
veh_t7_civ_license_plate_front_singapore_compact_blu_met,47.77,4,0.34,19.95,4.66,31.75,2
veh_t7_civ_license_plate_front_singapore_compact_blu,47.77,4,0.34,19.95,4.66,31.75,1
veh_t7_civ_license_plate_back_cairo,40.57,4,0.33,12.35,6.60,26.93,1
veh_t7_civ_license_plate_front_cairo,40.57,4,0.32,12.35,6.58,25.84,1
veh_t7_civ_license_plate_back_singapore_compact_blu_met,47.77,4,0.34,19.95,4.66,31.75,2
veh_t7_civ_license_plate_front_cairo_compact_grn,40.57,4,0.32,12.35,6.58,25.84,2
veh_t7_civ_license_plate_back_cairo_compact_grn,40.57,4,0.33,12.35,6.60,26.93,2
veh_t7_civ_license_plate_back_singapore_compact_blu,47.77,4,0.34,19.95,4.66,31.75,1
